resourceId,resourceName,url,leaf,parentId,resourceTypeId,orderNo
1,系统管理,,0,0,1,1

12,基础字典,,0,1,1,12
121,分类字典,UI121,1,12,2,121
122,部门管理,UI122,1,12,2,122
123,人员管理,UI123,1,12,2,123
124,会计科目,UI124,1,12,2,124
125,供货商字典,UI125,1,12,2,125
126,银行设置,UI126,1,12,2,126
127,银行帐号管理,UI127,1,12,2,127
128,银行票据管理,UI128,1,12,2,128

13,系统设置,,0,1,1,13
131,角色管理,sys/UIROLE,1,13,2,131
132,用户管理,UI132,1,13,2,132
133,系统参数设置,UI133,1,13,2,133
134,业务数据接口,UI134,1,13,2,134
135,付款审批设置,UI135,1,13,2,135
136,付款权限设置,,1,13,2,136
137,类型权限设置,,1,13,2,137

14,设置导航,,0,1,1,14
141,门诊收费设置导航,UI141,1,14,2,141
142,挂号收费设置导航,UI142,1,14,2,142
143,住院收费设置导航,UI143,1,14,2,143
144,预交金设置导航,UI144,1,14,2,144
145,物资设置导航,UI145,1,14,2,145
146,库房帐类设置,UI146,1,14,2,146
147,供货商科目设置,UI147,1,14,2,147

15,系统初始化,,0,1,1,15
150,统计期,UI150,1,15,2,150
151,摘要库,UI151,1,15,2,151
152,记账分类,UI152,1,15,2,152
153,初始库房金额,,1,15,2,153
154,财务数据导入,,1,15,2,154
155,初始金额查询 ,,1,15,2,155
156,凭证撤销,,1,15,2,156
157,入库金额调整,,1,15,2,157

16,报表设置,,0,1,1,16
161,通用报表,,1,16,2,161
162,报表授权,,1,16,2,162
